GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
robozonky-core,com.github.triceo.robozonky.exceptions,LogoutFailedException,16,0,0,0,8,0,4,0,4,0
robozonky-core,com.github.triceo.robozonky.exceptions,LoginFailedException,16,0,0,0,8,0,4,0,4,0
robozonky-core,com.github.triceo.robozonky.remote,Statistics,57,0,0,0,14,0,9,0,9,0
robozonky-core,com.github.triceo.robozonky.remote,Ratings,13,54,3,3,1,12,4,7,1,7
robozonky-core,com.github.triceo.robozonky.remote,Rating,5,107,0,0,0,13,1,4,1,4
robozonky-core,com.github.triceo.robozonky.remote,InvestmentStatus,5,73,0,0,0,7,1,3,1,3
robozonky-core,com.github.triceo.robozonky.remote,InstantDeserializer,6,18,0,0,2,3,0,3,0,3
robozonky-core,com.github.triceo.robozonky.remote,Photo,36,3,0,0,7,1,3,1,3,1
robozonky-core,com.github.triceo.robozonky.remote,RiskPortfolio,61,24,0,0,13,9,5,3,5,3
robozonky-core,com.github.triceo.robozonky.remote,Investment,156,65,0,0,36,20,22,5,22,5
robozonky-core,com.github.triceo.robozonky.remote,Wallet,58,23,0,0,14,8,7,2,7,2
robozonky-core,com.github.triceo.robozonky.remote,Loan,118,6,0,0,29,2,21,2,21,2
robozonky-core,com.github.triceo.robozonky.remote,ZonkyApiToken,163,0,12,0,29,0,17,0,11,0
robozonky-core,com.github.triceo.robozonky.remote,InvestmentStatuses,19,16,0,0,3,5,3,3,3,3
robozonky-core,com.github.triceo.robozonky,Util,15,112,1,11,4,25,2,12,1,7
robozonky-core,com.github.triceo.robozonky,Operations,83,539,3,45,22,124,8,39,5,18
robozonky-core,com.github.triceo.robozonky,OperationsContext,0,51,0,0,0,17,0,8,0,8
robozonky-core,com.github.triceo.robozonky.strategy,StrategyPerRating,2,137,1,13,0,27,1,14,0,8
robozonky-core,com.github.triceo.robozonky.strategy,InvestmentStrategy,0,110,0,4,0,18,0,7,0,5
robozonky-core,com.github.triceo.robozonky.strategy,StrategyBuilder,123,0,8,0,17,0,8,0,4,0
robozonky-core,com.github.triceo.robozonky.authentication,Authenticator,111,0,0,0,24,0,11,0,11,0
robozonky-core,com.github.triceo.robozonky.authentication,AuthenticatedFilter,0,36,0,0,0,9,0,4,0,4
robozonky-core,com.github.triceo.robozonky.authentication,CommonFilter,23,26,0,0,3,4,1,2,1,2
robozonky-core,com.github.triceo.robozonky.authentication,AuthenticationFilter,0,32,0,0,0,7,0,4,0,4
robozonky-core,com.github.triceo.robozonky.authentication,Authentication,15,0,0,0,6,0,3,0,3,0
